R0,k,k_label,n_imports,extinction_prob_q,establishment_prob
1.5,0.05,0.05,1,0.9641445639878348,0.03585543601216523
1.5,0.05,0.05,2,0.9641445639878348,0.07042525973270797
1.5,0.05,0.05,5,0.9641445639878348,0.16687381430419423
1.5,0.05,0.05,10,0.9641445639878348,0.30590075870795785
1.5,0.05,0.05,25,0.9641445639878348,0.598621667660379
1.5,0.05,0.05,50,0.9641445639878348,0.8388954343282647
1.5,0.05,0.05,100,0.9641445639878348,0.9740453189197216
1.5,0.1,0.1,1,0.9323423386105609,0.06765766138943907
1.5,0.1,0.1,2,0.9323423386105609,0.1307377636341901
1.5,0.1,0.1,5,0.9323423386105609,0.29550643242957975
1.5,0.1,0.1,10,0.9323423386105609,0.5036888132519017
1.5,0.1,0.1,25,0.9323423386105609,0.8264657670295669
1.5,0.1,0.1,50,0.9323423386105609,0.9698858699873635
1.5,0.1,0.1,100,0.9323423386105609,0.999093139173582
1.5,0.2,0.2,1,0.8784657071994388,0.12153429280056116
1.5,0.2,0.2,2,0.8784657071994388,0.22829800127458977
1.5,0.2,0.2,5,0.8784657071994388,0.47685261029077575
1.5,0.2,0.2,10,0.8784657071994388,0.726316808640425
1.5,0.2,0.2,25,0.8784657071994388,0.9608149582751575
1.5,0.2,0.2,50,0.8784657071994388,0.9984645325050223
1.5,0.2,0.2,100,0.8784657071994388,0.9999976423395719
1.5,0.5,0.5,1,0.7675918792439984,0.2324081207560016
1.5,0.5,0.5,2,0.7675918792439984,0.41080270691866694
1.5,0.5,0.5,5,0.7675918792439984,0.7335278307946174
1.5,0.5,0.5,10,0.7675918792439984,0.9289925830389779
1.5,0.5,0.5,25,0.7675918792439984,0.9986564331296324
1.5,0.5,0.5,50,0.7675918792439984,0.9999981948280648
1.5,0.5,0.5,100,0.7675918792439984,0.9999999999967414
1.5,1,1,1,0.6666666666666667,0.33333333333333326
1.5,1,1,2,0.6666666666666667,0.5555555555555555
1.5,1,1,5,0.6666666666666667,0.868312757201646
1.5,1,1,10,0.6666666666666667,0.9826584700841674
1.5,1,1,25,0.6666666666666667,0.9999603978719577
1.5,1,1,50,0.6666666666666667,0.9999999984316714
1.5,1,1,100,0.6666666666666667,1.0
1.5,2,2,1,0.5750275941215419,0.4249724058784581
1.5,2,2,2,0.5750275941215419,0.6693432659987912
1.5,2,2,5,0.5750275941215419,0.9371300044770452
1.5,2,2,10,0.5750275941215419,0.9960473636629437
1.5,2,2,25,0.5750275941215419,0.9999990177610606
1.5,2,2,50,0.5750275941215419,0.9999999999990352
1.5,2,2,100,0.5750275941215419,1.0
1.5,5,5,1,0.4920587627789783,0.5079412372210217
1.5,5,5,2,0.4920587627789783,0.7578781739724212
1.5,5,5,5,0.4920587627789783,0.97115404966051
1.5,5,5,10,0.4920587627789783,0.9991679111490117
1.5,5,5,25,0.4920587627789783,0.9999999800278758
1.5,5,5,50,0.4920587627789783,0.9999999999999996
1.5,5,5,100,0.4920587627789783,1.0
1.5,Poisson,Poisson,1,0.4171883561341887,0.5828116438658113
1.5,Poisson,Poisson,2,0.4171883561341887,0.8259538755060534
1.5,Poisson,Poisson,5,0.4171883561341887,0.9873625080166971
1.5,Poisson,Poisson,10,0.4171883561341887,0.999840293796372
1.5,Poisson,Poisson,25,0.4171883561341887,0.9999999996776672
1.5,Poisson,Poisson,50,0.4171883561341887,1.0
1.5,Poisson,Poisson,100,0.4171883561341887,1.0
2.5,0.05,0.05,1,0.9250979563313382,0.07490204366866182
2.5,0.05,0.05,2,0.9250979563313382,0.1441937711915815
2.5,0.05,0.05,5,0.9250979563313382,0.322454277689351
2.5,0.05,0.05,10,0.9250979563313382,0.5409317941785409
2.5,0.05,0.05,25,0.9250979563313382,0.8572115633934685
2.5,0.05,0.05,50,0.9250979563313382,0.9796114623714626
2.5,0.05,0.05,100,0.9250979563313382,0.9995843075333697
2.5,0.1,0.1,1,0.8606853922408748,0.1393146077591252
2.5,0.1,0.1,2,0.8606853922408748,0.2592206555831714
2.5,0.1,0.1,5,0.8606853922408748,0.5276954163222343
2.5,0.1,0.1,10,0.8606853922408748,0.7769283802369724
2.5,0.1,0.1,25,0.8606853922408748,0.9764976763869613
2.5,0.1,0.1,50,0.8606853922408748,0.999447640784788
2.5,0.1,0.1,100,0.8606853922408748,0.9999996948992974
2.5,0.2,0.2,1,0.755958225945901,0.244041774054099
2.5,0.2,0.2,2,0.755958225945901,0.42852716062472607
2.5,0.2,0.2,5,0.755958225945901,0.7531182507763832
2.5,0.2,0.2,10,0.755958225945901,0.9390494019002872
2.5,0.2,0.2,25,0.755958225945901,0.9990828403727743
2.5,0.2,0.2,50,0.755958225945901,0.9999991588182182
2.5,0.2,0.2,100,0.755958225945901,0.9999999999992925
2.5,0.5,0.5,1,0.558257569495584,0.441742430504416
2.5,0.5,0.5,2,0.558257569495584,0.6883484861008832
2.5,0.5,0.5,5,0.558257569495584,0.9457783034410897
2.5,0.5,0.5,10,0.558257569495584,0.9970600076222734
2.5,0.5,0.5,25,0.558257569495584,0.9999995313317738
2.5,0.5,0.5,50,0.558257569495584,0.9999999999997804
2.5,0.5,0.5,100,0.558257569495584,1.0
2.5,1,1,1,0.4,0.6
2.5,1,1,2,0.4,0.84
2.5,1,1,5,0.4,0.98976
2.5,1,1,10,0.4,0.9998951424
2.5,1,1,25,0.4,0.9999999998874101
2.5,1,1,50,0.4,1.0
2.5,1,1,100,0.4,1.0
2.5,2,2,1,0.2753049234040401,0.7246950765959599
2.5,2,2,2,0.2753049234040401,0.9242071991494956
2.5,2,2,5,0.2753049234040401,0.9984184974709576
2.5,2,2,10,0.2753049234040401,0.9999974988497506
2.5,2,2,25,0.2753049234040401,0.9999999999999901
2.5,2,2,50,0.2753049234040401,1.0
2.5,2,2,100,0.2753049234040401,1.0
2.5,5,5,1,0.1791700699811633,0.8208299300188366
2.5,5,5,2,0.1791700699811633,0.967898086022945
2.5,5,5,5,0.1791700699811633,0.999815359351595
2.5,5,5,10,0.1791700699811633,0.9999999659078309
2.5,5,5,25,0.1791700699811633,1.0
2.5,5,5,50,0.1791700699811633,1.0
2.5,5,5,100,0.1791700699811633,1.0
2.5,Poisson,Poisson,1,0.10735524639079089,0.8926447536092091
2.5,Poisson,Poisson,2,0.10735524639079089,0.9884748510723725
2.5,Poisson,Poisson,5,0.10735524639079089,0.9999857401037716
2.5,Poisson,Poisson,10,0.10735524639079089,0.9999999997966553
2.5,Poisson,Poisson,25,0.10735524639079089,1.0
2.5,Poisson,Poisson,50,0.10735524639079089,1.0
2.5,Poisson,Poisson,100,0.10735524639079089,1.0
4.0,0.05,0.05,1,0.8934130504844893,0.10658694951551073
4.0,0.05,0.05,2,0.8934130504844893,0.20181312122399941
4.0,0.05,0.05,5,0.8934130504844893,0.430804496538016
4.0,0.05,0.05,10,0.8934130504844893,0.6760164788386585
4.0,0.05,0.05,25,0.8934130504844893,0.9402542107072102
4.0,0.05,0.05,50,0.8934130504844893,0.9964304406617815
4.0,0.05,0.05,100,0.8934130504844893,0.9999872582461309
4.0,0.1,0.1,1,0.8042874673289666,0.1957125326710334
4.0,0.1,0.1,2,0.8042874673289666,0.35312166989755644
4.0,0.1,0.1,5,0.8042874673289666,0.6634446433830077
4.0,0.1,0.1,10,0.8042874673289666,0.8867304919324092
4.0,0.1,0.1,25,0.8042874673289666,0.9956820010150558
4.0,0.1,0.1,50,0.8042874673289666,0.999981354884766
4.0,0.1,0.1,100,0.8042874673289666,0.9999999996523596
4.0,0.2,0.2,1,0.664719910863766,0.33528008913623397
4.0,0.2,0.2,2,0.664719910863766,0.5581474401012669
4.0,0.2,0.2,5,0.664719910863766,0.8702242825158811
4.0,0.2,0.2,10,0.664719910863766,0.9831582631514821
4.0,0.2,0.2,25,0.664719910863766,0.9999631898834027
4.0,0.2,0.2,50,0.664719910863766,0.9999999986450153
4.0,0.2,0.2,100,0.664719910863766,1.0
4.0,0.5,0.5,1,0.4215351654086268,0.5784648345913732
4.0,0.5,0.5,2,0.4215351654086268,0.8223081043239217
4.0,0.5,0.5,5,0.4215351654086268,0.9866902759469317
4.0,0.5,0.5,10,0.4215351654086268,0.9998228512456312
4.0,0.5,0.5,25,0.4215351654086268,0.9999999995823184
4.0,0.5,0.5,50,0.4215351654086268,1.0
4.0,0.5,0.5,100,0.4215351654086268,1.0
4.0,1,1,1,0.25,0.75
4.0,1,1,2,0.25,0.9375
4.0,1,1,5,0.25,0.9990234375
4.0,1,1,10,0.25,0.9999990463256836
4.0,1,1,25,0.25,0.9999999999999991
4.0,1,1,50,0.25,1.0
4.0,1,1,100,0.25,1.0
4.0,2,2,1,0.13397459621556135,0.8660254037844386
4.0,2,2,2,0.13397459621556135,0.9820508075688773
4.0,2,2,5,0.13397459621556135,0.9999568369342299
4.0,2,2,10,0.13397459621556135,0.9999999981369497
4.0,2,2,25,0.13397459621556135,1.0
4.0,2,2,50,0.13397459621556135,1.0
4.0,2,2,100,0.13397459621556135,1.0
4.0,5,5,1,0.060673231981819814,0.9393267680181802
4.0,5,5,2,0.060673231981819814,0.9963187589208803
4.0,5,5,5,0.060673231981819814,0.9999991777845196
4.0,5,5,10,0.060673231981819814,0.999999999999324
4.0,5,5,25,0.060673231981819814,1.0
4.0,5,5,50,0.060673231981819814,1.0
4.0,5,5,100,0.060673231981819814,1.0
4.0,Poisson,Poisson,1,0.019827401281778415,0.9801725987182216
4.0,Poisson,Poisson,2,0.019827401281778415,0.9996068741584113
4.0,Poisson,Poisson,5,0.019827401281778415,0.9999999969357162
4.0,Poisson,Poisson,10,0.019827401281778415,1.0
4.0,Poisson,Poisson,25,0.019827401281778415,1.0
4.0,Poisson,Poisson,50,0.019827401281778415,1.0
4.0,Poisson,Poisson,100,0.019827401281778415,1.0
