metric,value,unit,condition,note
extinction_probability_q,0.932342,probability,"R0=1.5, k=0.1, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.067658,probability,"R0=1.5, k=0.1, n=1",P_establish = 1 - q
extinction_probability_q,0.860685,probability,"R0=2.5, k=0.1, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.139315,probability,"R0=2.5, k=0.1, n=1",P_establish = 1 - q
extinction_probability_q,0.804287,probability,"R0=4.0, k=0.1, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.195713,probability,"R0=4.0, k=0.1, n=1",P_establish = 1 - q
extinction_probability_q,0.767592,probability,"R0=1.5, k=0.5, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.232408,probability,"R0=1.5, k=0.5, n=1",P_establish = 1 - q
extinction_probability_q,0.558258,probability,"R0=2.5, k=0.5, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.441742,probability,"R0=2.5, k=0.5, n=1",P_establish = 1 - q
extinction_probability_q,0.421535,probability,"R0=4.0, k=0.5, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.578465,probability,"R0=4.0, k=0.5, n=1",P_establish = 1 - q
extinction_probability_q,0.666667,probability,"R0=1.5, k=1, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.333333,probability,"R0=1.5, k=1, n=1",P_establish = 1 - q
extinction_probability_q,0.4,probability,"R0=2.5, k=1, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.6,probability,"R0=2.5, k=1, n=1",P_establish = 1 - q
extinction_probability_q,0.25,probability,"R0=4.0, k=1, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.75,probability,"R0=4.0, k=1, n=1",P_establish = 1 - q
extinction_probability_q,0.575028,probability,"R0=1.5, k=2, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.424972,probability,"R0=1.5, k=2, n=1",P_establish = 1 - q
extinction_probability_q,0.275305,probability,"R0=2.5, k=2, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.724695,probability,"R0=2.5, k=2, n=1",P_establish = 1 - q
extinction_probability_q,0.133975,probability,"R0=4.0, k=2, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.866025,probability,"R0=4.0, k=2, n=1",P_establish = 1 - q
extinction_probability_q,0.417188,probability,"R0=1.5, k=Poisson, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.582812,probability,"R0=1.5, k=Poisson, n=1",P_establish = 1 - q
extinction_probability_q,0.107355,probability,"R0=2.5, k=Poisson, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.892645,probability,"R0=2.5, k=Poisson, n=1",P_establish = 1 - q
extinction_probability_q,0.019827,probability,"R0=4.0, k=Poisson, n=1",probability one imported case fails to ignite transmission
establishment_probability_n1,0.980173,probability,"R0=4.0, k=Poisson, n=1",P_establish = 1 - q
establishment_probability_n,0.139315,probability,"R0=2.5, k=0.1, n=1",P_establish = 1 - q**n
establishment_probability_n,0.776928,probability,"R0=2.5, k=0.1, n=10",P_establish = 1 - q**n
establishment_probability_n,1.0,probability,"R0=2.5, k=0.1, n=100",P_establish = 1 - q**n
establishment_probability_n,0.441742,probability,"R0=2.5, k=0.5, n=1",P_establish = 1 - q**n
establishment_probability_n,0.99706,probability,"R0=2.5, k=0.5, n=10",P_establish = 1 - q**n
establishment_probability_n,1.0,probability,"R0=2.5, k=0.5, n=100",P_establish = 1 - q**n
establishment_probability_n,0.892645,probability,"R0=2.5, k=Poisson, n=1",P_establish = 1 - q**n
establishment_probability_n,1.0,probability,"R0=2.5, k=Poisson, n=10",P_establish = 1 - q**n
establishment_probability_n,1.0,probability,"R0=2.5, k=Poisson, n=100",P_establish = 1 - q**n
overdispersion_risk_ratio,0.156069,ratio,"R0=2.5, k=0.1 vs Poisson",establishment probability relative to the Poisson benchmark
overdispersion_absolute_gap,0.75333,probability,"R0=2.5, k=0.1 vs Poisson",Poisson minus k=0.1 establishment probability
expected_imports_per_establishment,14.7803,cases,"R0=1.5, k=0.1",1 / (1 - q): mean number of imported cases per successful establishment if imports are independent
n_imports_for_0.5_establishment,10.0,cases,"R0=1.5, k=0.1",smallest n with 1 - q**n >= 0.5
n_imports_for_0.95_establishment,43.0,cases,"R0=1.5, k=0.1",smallest n with 1 - q**n >= 0.95
expected_imports_per_establishment,7.178,cases,"R0=2.5, k=0.1",1 / (1 - q): mean number of imported cases per successful establishment if imports are independent
n_imports_for_0.5_establishment,5.0,cases,"R0=2.5, k=0.1",smallest n with 1 - q**n >= 0.5
n_imports_for_0.95_establishment,20.0,cases,"R0=2.5, k=0.1",smallest n with 1 - q**n >= 0.95
expected_imports_per_establishment,5.1095,cases,"R0=4.0, k=0.1",1 / (1 - q): mean number of imported cases per successful establishment if imports are independent
n_imports_for_0.5_establishment,4.0,cases,"R0=4.0, k=0.1",smallest n with 1 - q**n >= 0.5
n_imports_for_0.95_establishment,14.0,cases,"R0=4.0, k=0.1",smallest n with 1 - q**n >= 0.95
expected_imports_per_establishment,4.3028,cases,"R0=1.5, k=0.5",1 / (1 - q): mean number of imported cases per successful establishment if imports are independent
n_imports_for_0.5_establishment,3.0,cases,"R0=1.5, k=0.5",smallest n with 1 - q**n >= 0.5
n_imports_for_0.95_establishment,12.0,cases,"R0=1.5, k=0.5",smallest n with 1 - q**n >= 0.95
expected_imports_per_establishment,2.2638,cases,"R0=2.5, k=0.5",1 / (1 - q): mean number of imported cases per successful establishment if imports are independent
n_imports_for_0.5_establishment,2.0,cases,"R0=2.5, k=0.5",smallest n with 1 - q**n >= 0.5
n_imports_for_0.95_establishment,6.0,cases,"R0=2.5, k=0.5",smallest n with 1 - q**n >= 0.95
expected_imports_per_establishment,1.7287,cases,"R0=4.0, k=0.5",1 / (1 - q): mean number of imported cases per successful establishment if imports are independent
n_imports_for_0.5_establishment,1.0,cases,"R0=4.0, k=0.5",smallest n with 1 - q**n >= 0.5
n_imports_for_0.95_establishment,4.0,cases,"R0=4.0, k=0.5",smallest n with 1 - q**n >= 0.95
expected_imports_per_establishment,3.0,cases,"R0=1.5, k=1",1 / (1 - q): mean number of imported cases per successful establishment if imports are independent
n_imports_for_0.5_establishment,2.0,cases,"R0=1.5, k=1",smallest n with 1 - q**n >= 0.5
n_imports_for_0.95_establishment,8.0,cases,"R0=1.5, k=1",smallest n with 1 - q**n >= 0.95
expected_imports_per_establishment,1.6667,cases,"R0=2.5, k=1",1 / (1 - q): mean number of imported cases per successful establishment if imports are independent
n_imports_for_0.5_establishment,1.0,cases,"R0=2.5, k=1",smallest n with 1 - q**n >= 0.5
n_imports_for_0.95_establishment,4.0,cases,"R0=2.5, k=1",smallest n with 1 - q**n >= 0.95
expected_imports_per_establishment,1.3333,cases,"R0=4.0, k=1",1 / (1 - q): mean number of imported cases per successful establishment if imports are independent
n_imports_for_0.5_establishment,1.0,cases,"R0=4.0, k=1",smallest n with 1 - q**n >= 0.5
n_imports_for_0.95_establishment,3.0,cases,"R0=4.0, k=1",smallest n with 1 - q**n >= 0.95
expected_imports_per_establishment,1.7158,cases,"R0=1.5, k=Poisson",1 / (1 - q): mean number of imported cases per successful establishment if imports are independent
n_imports_for_0.5_establishment,1.0,cases,"R0=1.5, k=Poisson",smallest n with 1 - q**n >= 0.5
n_imports_for_0.95_establishment,4.0,cases,"R0=1.5, k=Poisson",smallest n with 1 - q**n >= 0.95
expected_imports_per_establishment,1.1203,cases,"R0=2.5, k=Poisson",1 / (1 - q): mean number of imported cases per successful establishment if imports are independent
n_imports_for_0.5_establishment,1.0,cases,"R0=2.5, k=Poisson",smallest n with 1 - q**n >= 0.5
n_imports_for_0.95_establishment,2.0,cases,"R0=2.5, k=Poisson",smallest n with 1 - q**n >= 0.95
expected_imports_per_establishment,1.0202,cases,"R0=4.0, k=Poisson",1 / (1 - q): mean number of imported cases per successful establishment if imports are independent
n_imports_for_0.5_establishment,1.0,cases,"R0=4.0, k=Poisson",smallest n with 1 - q**n >= 0.5
n_imports_for_0.95_establishment,1.0,cases,"R0=4.0, k=Poisson",smallest n with 1 - q**n >= 0.95
generations_to_within_5pct_of_ultimate,5.0,generations,"R0=2.5, k=0.1",first g with P_survive(g) <= 1.05 * P_survive(infinity)
p_survive_g1_over_ultimate,1.9959,ratio,"R0=2.5, k=0.1",P_survive(g=1) relative to the limiting value
generations_to_within_5pct_of_ultimate,4.0,generations,"R0=2.5, k=0.5",first g with P_survive(g) <= 1.05 * P_survive(infinity)
p_survive_g1_over_ultimate,1.3396,ratio,"R0=2.5, k=0.5",P_survive(g=1) relative to the limiting value
generations_to_within_5pct_of_ultimate,1.0,generations,"R0=2.5, k=Poisson",first g with P_survive(g) <= 1.05 * P_survive(infinity)
p_survive_g1_over_ultimate,1.0283,ratio,"R0=2.5, k=Poisson",P_survive(g=1) relative to the limiting value
seasonal_max_establishment,0.224507,probability,"R0_peak=1.5, w=55, tau=15, k=0.5, g=6",annual maximum of the within-season establishment probability
seasonal_optimal_introduction_day,170.0,day-of-year,"R0_peak=1.5, w=55, tau=15, k=0.5, g=6",day at which the establishment probability peaks
vulnerable_window_length_thr0.05,109.0,days,"R0_peak=1.5, w=55, tau=15, k=0.5, g=6",days with P >= 0.05; from day 108 to day 216
vulnerable_window_start_thr0.05,108.0,day-of-year,"R0_peak=1.5, w=55, tau=15, k=0.5, g=6",
vulnerable_window_end_thr0.05,216.0,day-of-year,"R0_peak=1.5, w=55, tau=15, k=0.5, g=6",
vulnerable_window_length_thr0.1,85.0,days,"R0_peak=1.5, w=55, tau=15, k=0.5, g=6",days with P >= 0.1; from day 123 to day 207
vulnerable_window_start_thr0.1,123.0,day-of-year,"R0_peak=1.5, w=55, tau=15, k=0.5, g=6",
